,Timestamp,Close,VWAP,ST,ST_d,long,short,diff_long,diff_short
0,2022-11-26 09:30:00-05:00,1011.687,1011.316,,-1,0,1,0,0
1,2022-11-27 09:30:00-05:00,1026.176,1019.38,,-1,0,1,0,0
2,2022-11-28 09:30:00-05:00,1051.879,1036.368,,-1,0,1,0,0
3,2022-11-29 09:30:00-05:00,1101.256,1084.739,,-1,0,1,0,0
4,2022-11-30 09:30:00-05:00,1107.768,1117.343,,-1,0,1,0,0
5,2022-12-01 09:30:00-05:00,1087.87,1103.933,,-1,0,1,0,0
6,2022-12-02 09:30:00-05:00,1081.458,1076.401,,-1,0,1,0,0
7,2022-12-03 09:30:00-05:00,1081.835,1087.803,,-1,0,1,0,0
8,2022-12-04 09:30:00-05:00,1122.307,1111.212,1090.73,-1,0,1,0,0
9,2022-12-05 09:30:00-05:00,1147.485,1142.308,1122.061,-1,0,1,0,0
10,2022-12-06 09:30:00-05:00,1130.176,1138.368,1122.061,-1,0,1,0,0
11,2022-12-07 09:30:00-05:00,1141.036,1130.59,1122.061,-1,0,1,0,0
12,2022-12-08 09:30:00-05:00,1174.606,1171.517,1152.102,-1,0,1,0,0
13,2022-12-09 09:30:00-05:00,1185.018,1178.177,1160.315,-1,0,1,0,0
14,2022-12-10 09:30:00-05:00,1179.103,1184.103,1167.827,-1,0,1,0,0
15,2022-12-11 09:30:00-05:00,1174.741,1181.942,1167.827,-1,0,1,0,0
16,2022-12-12 09:30:00-05:00,1193.557,1163.11,1180.639,1,1,0,1,-1
17,2022-12-13 09:30:00-05:00,1145.491,1157.28,1175.536,1,1,0,0,0
18,2022-12-14 09:30:00-05:00,1166.683,1150.815,1169.011,1,1,0,0,0
19,2022-12-15 09:30:00-05:00,1164.39,1170.847,1152.249,-1,0,1,-1,1
20,2022-12-16 09:30:00-05:00,1199.212,1195.568,1175.948,-1,0,1,0,0
21,2022-12-17 09:30:00-05:00,1180.761,1191.878,1175.948,-1,0,1,0,0
22,2022-12-18 09:30:00-05:00,1169.98,1175.45,1193.625,1,1,0,1,-1
23,2022-12-19 09:30:00-05:00,1190.457,1182.981,1193.625,1,1,0,0,0
24,2022-12-20 09:30:00-05:00,1178.393,1189.135,1193.625,1,1,0,0,0
25,2022-12-21 09:30:00-05:00,1161.798,1168.103,1184.634,1,1,0,0,0
26,2022-12-22 09:30:00-05:00,1152.322,1161.579,1178.167,1,1,0,0,0
27,2022-12-23 09:30:00-05:00,1147.646,1147.963,1163.476,1,1,0,0,0
28,2022-12-24 09:30:00-05:00,1145.256,1144.794,1158.869,1,1,0,0,0
29,2022-12-25 09:30:00-05:00,1124.71,1130.649,1144.578,1,1,0,0,0
30,2022-12-26 09:30:00-05:00,1125.6,1124.081,1136.869,1,1,0,0,0
31,2022-12-27 09:30:00-05:00,1147.489,1139.213,1126.379,-1,0,1,-1,1
32,2022-12-28 09:30:00-05:00,1119.0,1120.11,1132.87,1,1,0,1,-1
33,2022-12-29 09:30:00-05:00,1118.093,1115.795,1127.725,1,1,0,0,0
34,2022-12-30 09:30:00-05:00,1110.857,1110.261,1121.853,1,1,0,0,0
35,2022-12-31 09:30:00-05:00,1102.09,1103.598,1114.38,1,1,0,0,0
36,2023-01-01 09:30:00-05:00,1110.248,1104.735,1114.38,1,1,0,0,0
37,2023-01-02 09:30:00-05:00,1107.266,1110.37,1114.38,1,1,0,0,0
38,2023-01-03 09:30:00-05:00,1144.7,1128.503,1117.629,-1,0,1,-1,1
39,2023-01-04 09:30:00-05:00,1134.439,1143.159,1132.008,-1,0,1,0,0
40,2023-01-05 09:30:00-05:00,1123.27,1127.631,1138.63,1,1,0,1,-1
41,2023-01-06 09:30:00-05:00,1135.717,1136.56,1138.63,1,1,0,0,0
42,2023-01-07 09:30:00-05:00,1132.451,1133.554,1138.63,1,1,0,0,0
43,2023-01-08 09:30:00-05:00,1143.059,1129.988,1138.63,1,1,0,0,0
44,2023-01-09 09:30:00-05:00,1135.341,1145.089,1133.725,-1,0,1,-1,1
45,2023-01-10 09:30:00-05:00,1135.777,1138.418,1133.725,-1,0,1,0,0
46,2023-01-11 09:30:00-05:00,1156.558,1147.541,1134.231,-1,0,1,0,0
47,2023-01-12 09:30:00-05:00,1093.333,1103.349,1118.57,1,1,0,1,-1
48,2023-01-13 09:30:00-05:00,1176.152,1160.209,1139.433,-1,0,1,-1,1
49,2023-01-14 09:30:00-05:00,1139.891,1155.94,1139.433,-1,0,1,0,0
50,2023-01-15 09:30:00-05:00,1129.527,1143.136,1139.433,-1,0,1,0,0
51,2023-01-16 09:30:00-05:00,1089.295,1115.106,1136.608,1,1,0,1,-1
52,2023-01-17 09:30:00-05:00,1064.472,1070.306,1093.069,1,1,0,0,0
53,2023-01-18 09:30:00-05:00,1053.078,1051.308,1073.422,1,1,0,0,0
54,2023-01-19 09:30:00-05:00,1063.811,1058.426,1073.422,1,1,0,0,0
55,2023-01-20 09:30:00-05:00,1116.29,1114.965,1092.061,-1,0,1,-1,1
56,2023-01-21 09:30:00-05:00,1124.866,1125.345,1103.263,-1,0,1,0,0
57,2023-01-22 09:30:00-05:00,1093.303,1106.913,1103.263,-1,0,1,0,0
58,2023-01-23 09:30:00-05:00,1083.611,1089.042,1110.244,1,1,0,1,-1
59,2023-01-24 09:30:00-05:00,1110.143,1114.301,1091.58,-1,0,1,-1,1
60,2023-01-25 09:30:00-05:00,1123.661,1112.139,1091.58,-1,0,1,0,0
61,2023-01-26 09:30:00-05:00,1120.563,1108.466,1091.58,-1,0,1,0,0
62,2023-01-27 09:30:00-05:00,1127.31,1118.017,1096.868,-1,0,1,0,0
63,2023-01-28 09:30:00-05:00,1137.004,1129.855,1109.803,-1,0,1,0,0
64,2023-01-29 09:30:00-05:00,1183.858,1161.128,1139.862,-1,0,1,0,0
65,2023-01-30 09:30:00-05:00,1198.306,1192.625,1170.685,-1,0,1,0,0
66,2023-01-31 09:30:00-05:00,1189.253,1195.415,1174.653,-1,0,1,0,0
67,2023-02-01 09:30:00-05:00,1264.154,1235.725,1211.879,-1,0,1,0,0
68,2023-02-02 09:30:00-05:00,1237.449,1229.275,1211.879,-1,0,1,0,0
69,2023-02-03 09:30:00-05:00,1227.443,1214.836,1211.879,-1,0,1,0,0
70,2023-02-04 09:30:00-05:00,1229.646,1224.345,1211.879,-1,0,1,0,0
71,2023-02-05 09:30:00-05:00,1207.143,1231.631,1211.879,-1,0,1,0,0
72,2023-02-06 09:30:00-05:00,1180.498,1195.438,1217.977,1,1,0,1,-1
73,2023-02-07 09:30:00-05:00,1146.489,1150.275,1174.749,1,1,0,0,0
74,2023-02-08 09:30:00-05:00,1149.609,1154.824,1174.749,1,1,0,0,0
75,2023-02-09 10:00:00-05:00,1197.539,1185.235,1160.486,-1,0,1,-1,1
76,2023-02-10 10:00:00-05:00,1211.884,1216.02,1191.713,-1,0,1,0,0
77,2023-02-11 10:00:00-05:00,1192.344,1206.875,1191.713,-1,0,1,0,0
78,2023-02-12 10:00:00-05:00,1165.076,1177.167,1200.719,1,1,0,1,-1
79,2023-02-13 10:00:00-05:00,1186.132,1156.0,1179.353,1,1,0,0,0
80,2023-02-14 10:00:00-05:00,1198.955,1185.865,1162.064,-1,0,1,-1,1
81,2023-02-15 10:00:00-05:00,1269.838,1268.239,1240.637,-1,0,1,0,0
82,2023-02-16 10:00:00-05:00,1215.578,1217.98,1246.507,1,1,0,1,-1
83,2023-02-17 10:00:00-05:00,1206.392,1210.489,1237.527,1,1,0,0,0
84,2023-02-18 10:00:00-05:00,1176.666,1185.218,1211.493,1,1,0,0,0
85,2023-02-19 10:00:00-05:00,1188.302,1177.787,1202.218,1,1,0,0,0
86,2023-02-20 10:00:00-05:00,1192.747,1182.768,1202.218,1,1,0,0,0
87,2023-02-21 10:00:00-05:00,1227.116,1210.182,1187.271,-1,0,1,-1,1
