,Timestamp,Close,VWAP,ST,ST_d,long,short,diff_long,diff_short
0,2022-11-26 09:30:00-05:00,1000.551,1005.895,,-1,0,1,0,0
1,2022-11-27 09:30:00-05:00,1002.562,1000.477,,-1,0,1,0,0
2,2022-11-28 09:30:00-05:00,1012.53,1007.316,,-1,0,1,0,0
3,2022-11-29 09:30:00-05:00,1060.059,1044.16,,-1,0,1,0,0
4,2022-11-30 09:30:00-05:00,1066.328,1075.545,,-1,0,1,0,0
5,2022-12-01 09:30:00-05:00,1034.694,1054.73,,-1,0,1,0,0
6,2022-12-02 09:30:00-05:00,1039.935,1041.155,,-1,0,1,0,0
7,2022-12-03 09:30:00-05:00,1036.132,1044.749,,-1,0,1,0,0
8,2022-12-04 09:30:00-05:00,1062.37,1063.867,1028.118,-1,0,1,0,0
9,2022-12-05 09:30:00-05:00,1054.886,1050.838,1028.118,-1,0,1,0,0
10,2022-12-06 09:30:00-05:00,1005.514,1035.079,1028.118,-1,0,1,0,0
11,2022-12-07 09:30:00-05:00,1006.494,1008.357,1044.879,1,1,0,1,-1
12,2022-12-08 09:30:00-05:00,1036.106,1033.381,1044.879,1,1,0,0,0
13,2022-12-09 09:30:00-05:00,1035.8,1038.938,1044.879,1,1,0,0,0
14,2022-12-10 09:30:00-05:00,1033.863,1035.363,1044.879,1,1,0,0,0
15,2022-12-11 09:30:00-05:00,1043.437,1040.162,1044.879,1,1,0,0,0
16,2022-12-12 09:30:00-05:00,1088.168,1039.505,1044.879,1,1,0,0,0
17,2022-12-13 09:30:00-05:00,1081.753,1074.369,1039.751,-1,0,1,-1,1
18,2022-12-14 09:30:00-05:00,1101.767,1086.781,1052.296,-1,0,1,0,0
19,2022-12-15 09:30:00-05:00,1157.44,1120.234,1079.849,-1,0,1,0,0
20,2022-12-16 09:30:00-05:00,1192.055,1188.433,1141.36,-1,0,1,0,0
21,2022-12-17 09:30:00-05:00,1161.299,1179.707,1141.36,-1,0,1,0,0
22,2022-12-18 09:30:00-05:00,1146.391,1151.402,1141.36,-1,0,1,0,0
23,2022-12-19 09:30:00-05:00,1152.336,1146.076,1141.36,-1,0,1,0,0
24,2022-12-20 09:30:00-05:00,1158.023,1156.094,1141.36,-1,0,1,0,0
25,2022-12-21 09:30:00-05:00,1153.057,1155.691,1141.36,-1,0,1,0,0
26,2022-12-22 09:30:00-05:00,1110.987,1119.912,1156.811,1,1,0,1,-1
27,2022-12-23 09:30:00-05:00,1113.24,1112.934,1146.384,1,1,0,0,0
28,2022-12-24 09:30:00-05:00,1111.962,1113.352,1143.618,1,1,0,0,0
29,2022-12-25 09:30:00-05:00,1110.121,1114.153,1142.582,1,1,0,0,0
30,2022-12-26 09:30:00-05:00,1085.901,1094.327,1123.326,1,1,0,0,0
31,2022-12-27 09:30:00-05:00,1107.018,1099.034,1123.326,1,1,0,0,0
32,2022-12-28 09:30:00-05:00,1075.581,1082.824,1110.506,1,1,0,0,0
33,2022-12-29 09:30:00-05:00,1060.592,1068.871,1096.152,1,1,0,0,0
34,2022-12-30 09:30:00-05:00,1059.128,1052.733,1079.258,1,1,0,0,0
35,2022-12-31 09:30:00-05:00,1049.645,1051.481,1075.859,1,1,0,0,0
36,2023-01-01 09:30:00-05:00,1046.81,1044.479,1067.915,1,1,0,0,0
37,2023-01-02 09:30:00-05:00,1042.261,1045.842,1067.503,1,1,0,0,0
38,2023-01-03 09:30:00-05:00,1058.322,1051.552,1067.503,1,1,0,0,0
39,2023-01-04 09:30:00-05:00,1056.158,1059.195,1067.503,1,1,0,0,0
40,2023-01-05 09:30:00-05:00,1052.803,1053.656,1067.503,1,1,0,0,0
41,2023-01-06 09:30:00-05:00,1043.577,1045.29,1065.077,1,1,0,0,0
42,2023-01-07 09:30:00-05:00,1038.596,1041.171,1059.471,1,1,0,0,0
43,2023-01-08 09:30:00-05:00,1069.603,1047.42,1059.471,1,1,0,0,0
44,2023-01-09 09:30:00-05:00,1057.476,1066.533,1042.483,-1,0,1,-1,1
45,2023-01-10 09:30:00-05:00,1051.396,1053.953,1042.483,-1,0,1,0,0
46,2023-01-11 09:30:00-05:00,1070.425,1062.197,1042.483,-1,0,1,0,0
47,2023-01-12 09:30:00-05:00,1031.379,1037.873,1066.31,1,1,0,1,-1
48,2023-01-13 09:30:00-05:00,1108.064,1094.165,1055.212,-1,0,1,-1,1
49,2023-01-14 09:30:00-05:00,1108.641,1109.688,1072.834,-1,0,1,0,0
50,2023-01-15 09:30:00-05:00,1092.68,1105.968,1072.834,-1,0,1,0,0
51,2023-01-16 09:30:00-05:00,1083.594,1075.869,1072.834,-1,0,1,0,0
52,2023-01-17 09:30:00-05:00,1087.898,1079.768,1072.834,-1,0,1,0,0
53,2023-01-18 09:30:00-05:00,1076.252,1074.444,1072.834,-1,0,1,0,0
54,2023-01-19 09:30:00-05:00,1077.837,1072.572,1105.78,1,1,0,1,-1
55,2023-01-20 09:30:00-05:00,1142.594,1131.487,1092.587,-1,0,1,-1,1
56,2023-01-21 09:30:00-05:00,1118.911,1133.247,1095.093,-1,0,1,0,0
57,2023-01-22 09:30:00-05:00,1077.736,1080.655,1122.562,1,1,0,1,-1
58,2023-01-23 09:30:00-05:00,1082.221,1073.172,1113.239,1,1,0,0,0
59,2023-01-24 09:30:00-05:00,1129.504,1113.514,1069.611,-1,0,1,-1,1
60,2023-01-25 09:30:00-05:00,1135.011,1128.867,1086.006,-1,0,1,0,0
61,2023-01-26 09:30:00-05:00,1131.881,1119.662,1086.006,-1,0,1,0,0
62,2023-01-27 09:30:00-05:00,1093.955,1116.372,1086.006,-1,0,1,0,0
63,2023-01-28 09:30:00-05:00,1064.704,1074.793,1118.687,1,1,0,1,-1
64,2023-01-29 09:30:00-05:00,1064.843,1076.545,1118.687,1,1,0,0,0
65,2023-01-30 09:30:00-05:00,1066.283,1074.211,1116.347,1,1,0,0,0
66,2023-01-31 09:30:00-05:00,1058.576,1063.959,1103.568,1,1,0,0,0
67,2023-02-01 09:30:00-05:00,1079.188,1065.59,1103.568,1,1,0,0,0
68,2023-02-02 09:30:00-05:00,1051.77,1054.27,1096.448,1,1,0,0,0
69,2023-02-03 09:30:00-05:00,1038.024,1027.471,1068.688,1,1,0,0,0
70,2023-02-04 09:30:00-05:00,1036.258,1033.291,1068.688,1,1,0,0,0
71,2023-02-05 09:30:00-05:00,1052.588,1050.621,1068.688,1,1,0,0,0
72,2023-02-06 09:30:00-05:00,994.599,1010.28,1050.522,1,1,0,0,0
73,2023-02-07 09:30:00-05:00,973.957,977.064,1019.692,1,1,0,0,0
74,2023-02-08 09:30:00-05:00,972.523,971.212,1011.626,1,1,0,0,0
75,2023-02-09 10:00:00-05:00,1031.645,1020.47,976.762,-1,0,1,-1,1
